genre_as_recorded,vocab,source_authority_uri,authorized_label,structured_value,ds_qid
Illuminated initials (layout features),aat,,,,
Illuminated initials (Layout features),aat,,,,
illuminatedmanuscripts,aat,(CStmoGRI)aatgf300265483,,,
Illuminatedmanuscripts,aat,,,,
Illuminatedmanuscripts,aat,http://vocab.getty.edu/aat/300265483,,,
Illuminatedmanuscripts,aat,(CStmoGRI)aatgf300265483http://vocab.getty.edu/aat/300265483,,,
illuminated manuscripts,aat,(CStmoGRI)aatgf300265483,,,
illuminated manuscripts,aat,,,,
Illuminated manuscripts,aat,(CStmoGRI)aatgf300265483http://vocab.getty.edu/aat/300265483,,,
Illuminated manuscripts,aat,,,,
illuminations,aat,,,,
Illuminations,aat,,,,
illuminations (painting),aat,,,,
Illuminations (painting),aat,,,,
illuminations (paintings),aat,,,,
Illuminations (paintings),aat,http://vocab.getty.edu/aat/300264522,,,
Illuminations (visual materials),aat,,,,
illuminations (visual works),aat,,,,
Illuminations (visual works),aat,,,,
impressed watermarks,aat,,,,
indentures,aat,,,,
Indentures,aat,,,,
Indexes,aat,,,,
Indulgences,aat,,,,
Indulgences (documents),aat,,,,
Inhabited initials,aat,,,,
initials (layout features),aat,,,,
instructional materials,aat,(CStmoGRI)aatgf300026367,,,
Instructional materials,aat,,,,
Insular scripts,aat,,,,
Inventories,aat,,,,
Italian rotunda (script),aat,,,,
Japanese sewing,aat,,,,
Journals (accounts),aat,http://vocab.getty.edu/aat/300027087,,,
Judicial records,aat,,,,
Ketubahs,aat,http://vocab.getty.edu/aat/300182873,,,
Kufic,aat,,,,
land grants,aat,,,,
Land surveys,aat,,,,
Laws,aat,,,,
Laws (documents),aat,,,,
leaf (plant material),aat,(CStmoGRI)aatgf300011892,,,
Leases,aat,,,,
Lectionaries,aat,,,,
Lecture notes,aat,,,,
Ledgers,aat,,,,
Ledgers (account books),aat,,,,
Legal correspondence,aat,,,,
legal documents,aat,,,,
Legal documents,aat,,,,
Legal instruments,aat,,,,
Letters,aat,,,,
Letters (correspondence),aat,,,,
Letters of recommendation,aat,,,,
Letters patent,aat,,,,
Licenses,aat,,,,
Limp bindings,aat,,,,
Lists,aat,,,,
Lists (document genres),aat,,,,
Litanies,aat,,,,
Litanies (prayers),aat,,,,
liturgical texts,aat,,,,
Liturgical texts,aat,,,,
Liturgy,aat,http://vocab.getty.edu/aat/300055983,,,
Luxeuil script,aat,,,,
Maghribī (script form),aat,,,,
magic squares,aat,,,,
Mahzorim,aat,http://vocab.getty.edu/aat/300211806,,,
Mansucripts (documents),aat,,,,
Manual (instructional materials),aat,,,,
manuals (instructional materials),aat,,,,
Manuals (instructional materials),aat,,,,
manuscript maps,aat,,,,
Manuscript maps,aat,,,,
Manuscripts,aat,,,,
"Manuscripts, Renaissance",aat,,,,
Manuscripts (document),aat,,,,
Manuscripts (document genre),aat,,,,
manuscripts (documents),aat,(CStmoGRI)aatgf300028569,,,
manuscripts (documents),aat,,,,
Manuscripts (documents),aat,,,,
Manuscripts (documents),aat,http://vocab.getty.edu/aat/300028569,,,
Manuscripts for publication,aat,,,,
Manuscript waste (Binding),aat,,,,
Maps,aat,,,,
Maps (documents),aat,,,,
marginalia (annotations),aat,,,,
Marginalia (annotations),aat,,,,
Marginalia (annotations),aat,http://vocab.getty.edu/aat/300026102,,,
Marginal illustrations,aat,,,,
Marriage certificates,aat,,,,
Martyrologies,aat,http://vocab.getty.edu/aat/300026471,,,
Maxims,aat,,,,
Memoirs,aat,,,,
menologions,aat,,,,
Menus,aat,,,,
Merchandise inventories,aat,http://vocab.getty.edu/aat/300027146,,,
Merovingian scripts,aat,,,,
Metal cuts,aat,,,,
military commissions,aat,,,,
Miniatures,aat,,,,
Miniatures (Illuminations),aat,,,,
miniatures (paintings),aat,,,,
Miniatures (paintings),aat,,,,
Minuscule,aat,,,,
Minutes,aat,,,,
Minutes (administrative records),aat,,,,
Miscellanies,aat,,,,
Miscellanites,aat,,,,
missals,aat,,,,
Missals,aat,,,,
Mnemonics,aat,,,,
Morocco bindings,aat,,,,
Music,aat,,,,
Musical notation,aat,,,,
Musical scores,aat,,,,
Mystery plays,aat,,,,
Naskhī,aat,,,,
Naskhī,aat,,,,
Nastaʻliq,aat,,,,
Neumes,aat,,,,
notarial documents,aat,,,,
Notarial documents,aat,http://vocab.getty.edu/aat/300164785,,,
Notarial documents,aat,,,,
Notebooks,aat,,,,
Notes,aat,,,,
Notes (documents),aat,,,,
Oaths,aat,,,,
Orations,aat,,,,
ordinals,aat,,,,
Ordinals,aat,,,,
Ordinances,aat,,,,
Outlines (documents),aat,http://vocab.getty.edu/aat/300027207,,,
Paintings (visual works),aat,,,,
Palimpsest,aat,,,,
palimpsests,aat,,,,
Palimpsests,aat,,,,
palimpsests (manuscripts),aat,,,,
Palimpsests (manuscripts),aat,http://vocab.getty.edu/aat/300028576,,,
Palm leaf,aat,,,,
palm leaf (material),aat,,,,
Palm-leaf manuscripts,aat,,,,
Papal briefs,aat,,,,
Paper,aat,,,,
Papyri,aat,,,,
Papyri (manuscripts),aat,,,,
Parchment,aat,,,,
parchment (animal material),aat,(CStmoGRI)aat300011851,,,
Parliamentary papers,aat,,,,
passionals,aat,,,,
Passion plays,aat,,,,
Passports,aat,,,,
Pastedowns,aat,,,,
Peciae,aat,,,,
pen and ink drawings,aat,http://vocab.getty.edu/aat/300404676,,,
Pen and wash drawings,aat,,,,
Penitentials,aat,,,,
Penmanship specimen manuals,aat,,,,
Permissions,aat,,,,
Perpetual calendars,aat,,,,
Personal correspondence,aat,http://vocab.getty.edu/aat/300048730,,,
petitions,aat,,,,
Petitions,aat,,,,
pictographs,aat,http://vocab.getty.edu/aat/300124411,,,
Pilgrim badges,aat,,,,
Plays (document genre),aat,,,,
Plays (performing arts compositions),aat,,,,
poems,aat,,,,
Poems,aat,,,,
poetry,aat,,,,
Polemics,aat,,,,
pontificals,aat,,,,
Pontificals,aat,,,,
Portolanos,aat,,,,
Portolanos,aat,http://vocab.getty.edu/aat/300137376,,,
Portraits,aat,,,,
Powers of attorney,aat,,,,
Prayer books,aat,,,,
Prayers,aat,,,,
prayers (compositions),aat,http://vocab.getty.edu/aat/300400521,,,
Prayers (documents),aat,,,,
Prayers (literary works),aat,,,,
prayer scrolls,aat,,,,
prescriptions,aat,,,,
Prescriptions,aat,,,,
Privileges (permissions),aat,,,,
Procedures (documents),aat,,,,
processionals,aat,,,,
proclamations,aat,http://vocab.getty.edu/aat/300027237,,,
Promissory notes,aat,,,,
Property records,aat,,,,
Protests,aat,,,,
Protogothic,aat,,,,
Proverbs,aat,,,,
Psalms,aat,,,,
Psalms (documents),aat,,,,
Psalter,aat,,,,
Psalters,aat,,,,
psalters (books),aat,,,,
Psalters (books),aat,,,,
quotations (texts),aat,,,,
Qur'anic boards,aat,,,,
Qur'ans,aat,,,,
Qurʼans,aat,,,,
Reading lists,aat,,,,
Receipts,aat,,,,
Receipts (financial records),aat,,,,
Recipes,aat,,,,
Records (documents),aat,http://vocab.getty.edu/aat/300026685,,,
Registers (lists),aat,,,,
Regulations (executive records),aat,,,,
Religious calendars,aat,,,,
religious habits,aat,,,,
Religious poetry,aat,http://vocab.getty.edu/aat/300417816,,,
Reports,aat,,,,
Riddles (document genres),aat,,,,
Rinceaux,aat,,,,
Rituals (liturgical books),aat,,,,
Romances,aat,,,,
Romances (document genre),aat,,,,
Romances (literary genre),aat,,,,
Romances (medieval narratives),aat,,,,
Rotunda (script),aat,,,,
rubrics,aat,(CStmoGRI)aatgf300196121,,,
Rubrics,aat,,,,
Rules (layout features),aat,,,,
Rustic capitals,aat,,,,
Sacramentaries,aat,,,,
Sale records,aat,,,,
Satires (document genre),aat,,,,
Satires (literary works),aat,,,,
Scientific illustrations,aat,,,,
scientific illustrations (images),aat,,,,
Scores (documents for music),aat,,,,
scraping,aat,,,,
Scrolls,aat,,,,
scrolls (information artifacts),aat,,,,
Scrolls (information artifacts),aat,,,,
Seals,aat,,,,
seals (artifacts),aat,,,,
seals (artifacts),aat,(CStmoGRI)aatgf300028877,,,
Seals (artifacts),aat,,,,
Seals (marks),aat,,,,
sermons,aat,,,,
Sermons,aat,,,,
Service books,aat,,,,
Service books (religious texts),aat,,,,
short stories,aat,,,,
signatures (names),aat,,,,
Songs,aat,,,,
Songs (documents),aat,,,,
sonnets,aat,,,,
Sonnets,aat,,,,
Speeches,aat,,,,
speeches (documents),aat,,,,
Stamps (tools),aat,,,,
Standards,aat,,,,
Statutes,aat,,,,
Strapwork,aat,,,,
Surveys (documents),aat,,,,
tables (documents),aat,,,,
Tables (documents),aat,,,,
Tables of contents,aat,,,,
Tabs,aat,,,,
Tacketed bindings,aat,,,,
tailpieces (layout features),aat,,,,
Tariff schedules,aat,,,,
Tax records,aat,,,,
Testimonials,aat,,,,
Testimonies,aat,,,,
textura (Gothic script),aat,,,,
Textura (Gothic script),aat,,,,
Textura (Gothic scripts),aat,,,,
Thumb indexes,aat,,,,
title pages,aat,,,,
Tracts (documents),aat,,,,
Tragedies,aat,,,,
Transcripts,aat,,,,
Translations,aat,,,,
Translations (documents),aat,,,,
Travel sketches,aat,http://vocab.getty.edu/aat/300117554,,,
treatises,aat,,,,
Treatises,aat,,,,
Treatises,aat,http://vocab.getty.edu/aat/300026681,,,
Trials,aat,,,,
tuǧras,aat,,,,
tuǧras,aat,,,,
Typescripts,aat,,,,
Uncial,aat,,,,
Vellum,aat,,,,
Vellum (paper),aat,,,,
Vellum (parchment),aat,,,,
Versals,aat,,,,
volvelles,aat,,,,
Volvelles,aat,,,,
Wafers,aat,,,,
Warrants,aat,,,,
Waste paper,aat,,,,
Watercolors,aat,,,,
Watercolors (paintings),aat,,,,
Watermarks,aat,,,,
Watermarks,aat,http://vocab.getty.edu/aat/300028749,,,
wills,aat,,,,
Wills,aat,,,,
Woodcuts (prints),aat,,,,
Wooden boards,aat,,,,
World maps,aat,,,,
Writing tablets (information artifacts),aat,,,,
Writs,aat,,,,
