genre_as_recorded,vocab,source_authority_uri,authorized_label,structured_value,ds_qid
Abridgements,aat,,,,
Abstracts (summaries),aat,,,,
accordion album bindings,aat,,,,
accordion books,aat,http://vocab.getty.edu/aat/300438814,,,
account books,aat,,,,
Account books,aat,,,,
accounts,aat,,,,
Accounts,aat,,,,
Administrative records,aat,,,,
Adventure stories,aat,http://vocab.getty.edu/aat/300254790,,,
Advertisements,aat,,,,
Agreements,aat,,,,
Albums (books),aat,,,,
Allegories,aat,,,,
Almanacs,aat,,,,
Alphabets (symbols),aat,,,,
Amate paper,aat,,,,
Amulets,aat,,,,
Anagrams,aat,,,,
Animal stories,aat,http://vocab.getty.edu/aat/300254800,,,
Animal stories,aat,,,,
annotations,aat,,,,
Annotations,aat,,,,
Annotations (Provenance),aat,,,,
anthologies,aat,,,,
Anthologies,aat,,,,
antiphonaries,aat,,,,
Antiphonaries,aat,,,,
Aphorisms,aat,,,,
apocrypha,aat,,,,
Arabic scripts,aat,,,,
Armenian alphabet,aat,,,,
Armorials,aat,,,,
Articles of incorporation,aat,,,,
Astronomical charts,aat,,,,
Atlases,aat,,,,
Atlases (Geographic),aat,,,,
Autobiographies,aat,,,,
autobiographies (literary works),aat,,,,
Autographs,aat,,,,
Autographs (manuscripts),aat,,,,
Bastarda,aat,,,,
benedictionals,aat,,,,
Beneventan minuscule,aat,,,,
Bibles,aat,,,,
bifolia,aat,(CStmoGRI)aatgf300201054,,,
Bifolia,aat,,,,
Bifolium,aat,,,,
Binding components,aat,,,,
Bindings,aat,,,,
biographical dictionaries,aat,http://vocab.getty.edu/aat/300026196,,,
biographies (literary genre),aat,http://vocab.getty.edu/aat/300080102,,,
Biographies (literary works),aat,,,,
Blank forms,aat,http://vocab.getty.edu/aat/300202519,,,
blind stamping,aat,,,,
Book catalogs,aat,,,,
Bookhands,aat,http://vocab.getty.edu/aat/300200668,,,
Book hands,aat,,,,
Bookmarks,aat,,,,
Book of hours,aat,,,,
bookplates,aat,,,,
Booksellers' catalogs,aat,http://vocab.getty.edu/aat/300417772,,,
books of hours,aat,,,,
Books of hours,aat,,,,
Books of hours,aat,http://vocab.getty.edu/aat/300026457,,,
Borders (ornament areas),aat,,,,
botanical illustrations,aat,,,,
breviaries,aat,,,,
Breviaries,aat,,,,
Breviaries,aat,http://vocab.getty.edu/aat/300026459,,,
Bullae (seals),aat,,,,
Bulls,aat,,,,
Bulls (papal records),aat,,,,
Bylaws,aat,,,,
Bylaws (administrative records),aat,,,,
Calendars,aat,,,,
Calendars (documents),aat,,,,
Calendars (documents by form),aat,,,,
calendars of saints,aat,,,,
Calligraphy,aat,,,,
calligraphy (visual works),aat,(CStmoGRI)aatgf300266660,,,
Calligraphy (visual works),aat,,,,
Canon tables,aat,,,,
Canticles,aat,,,,
Caroline minuscule,aat,,,,
cartularies,aat,,,,
Cartularies,aat,,,,
Catchwords,aat,,,,
Catechisms,aat,,,,
Charters,aat,,,,
Choirbooks,aat,,,,
chronicles,aat,,,,
Chronicles,aat,,,,
chronograms,aat,,,,
chronologies (lists),aat,,,,
Chronologies (lists),aat,,,,
Church records,aat,,,,
Citation indexes,aat,http://vocab.getty.edu/aat/300026579,,,
Civil court records,aat,,,,
Coats of arms,aat,,,,
Coats of arms,aat,http://vocab.getty.edu/aat/300126352,,,
Coats of arms and coat of arms elements,aat,,,,
Codices,aat,,,,
codices (bound manuscripts),aat,,,,
Codices (bound manuscripts),aat,,,,
Codicils,aat,,,,
Collages (visual works),aat,,,,
Collations,aat,,,,
collective biographies,aat,,,,
Comedies,aat,http://vocab.getty.edu/aat/300201014,,,
comedy (general genre),aat,,,,
commentaries,aat,,,,
Commentaries,aat,,,,
Commentries,aat,,,,
Commissions,aat,,,,
Commonplace books,aat,,,,
Compendiums,aat,,,,
Compilation manuscripts,aat,,,,
Composite portraits,aat,,,,
Concordances,aat,,,,
Constitutions,aat,,,,
contracts,aat,,,,
Contracts,aat,,,,
conveyances,aat,,,,
Cookbooks,aat,,,,
Copybooks,aat,,,,
copybooks (instructional materials),aat,,,,
Copybooks (instructional materials),aat,http://vocab.getty.edu/aat/300115825,,,
Correspondence,aat,,,,
Correspondence artifacts,aat,http://vocab.getty.edu/aat/300207872,,,
Credit records,aat,,,,
Criminal court records,aat,,,,
Cursivescripts,aat,,,,
Cursive scripts,aat,,,,
Cursive scripts (general scripts by form),aat,,,,
Customaries,aat,,,,
cut-paper work,aat,,,,
cuttings (partial works),aat,,,,
Death certificates,aat,,,,
Death registers,aat,,,,
Decisions,aat,,,,
Declarations,aat,,,,
Decorated initials,aat,,,,
Decorated initials,aat,http://vocab.getty.edu/aat/300417548,,,
Decrees,aat,,,,
Decretals,aat,,,,
deeds,aat,,,,
Deeds,aat,,,,
Detached leaves,aat,,,,
Detached leaves,aat,http://vocab.getty.edu/aat/300379890,,,
devotional calendars,aat,,,,
Devotional calendars,aat,,,,
Devotional literature,aat,,,,
diagrams,aat,,,,
Diagrams,aat,,,,
dialogues,aat,,,,
Dialogues,aat,,,,
Diaries,aat,,,,
dictionaries,aat,,,,
Dictionaries,aat,,,,
Diplomas,aat,,,,
Dirges,aat,http://vocab.getty.edu/aat/300262814,,,
Dispatches,aat,,,,
documentary scripts,aat,(CStmoGRI)aatgf300200828,,,
Documentary scripts,aat,,,,
Documents (object genre),aat,,,,
donation inscriptions,aat,,,,
doodles,aat,http://vocab.getty.edu/aat/300034707,,,
drawings,aat,,,,
Drawings,aat,,,,
drawings (visual works),aat,,,,
Drawings (visual works),aat,,,,
Drolleries,aat,,,,
Elegies,aat,,,,
Emblem books,aat,,,,
Embroidering,aat,,,,
Embroidery (visual works),aat,,,,
Encyclopedias,aat,,,,
Engravings (prints),aat,,,,
Envelopes,aat,,,,
Epic poems,aat,http://vocab.getty.edu/aat/300253035,,,
Epics,aat,,,,
Epigrams,aat,,,,
epitaphs,aat,,,,
Essays,aat,,,,
estate inventories,aat,,,,
Estate inventories,aat,,,,
Estate records,aat,,,,
Etymological dictionaries,aat,,,,
Evangeliaries,aat,,,,
Excerpts,aat,,,,
Executive records,aat,,,,
Fables,aat,,,,
Facsimiles,aat,,,,
Figurative initials,aat,,,,
figure initials,aat,,,,
Financial documents,aat,,,,
Financial records,aat,,,,
folded books,aat,http://vocab.getty.edu/aat/300200572,,,
folio,aat,(CStmoGRI)aatgf300201054,,,
Forgeries,aat,,,,
Forgeries (derivative objects),aat,http://vocab.getty.edu/aat/300015641,,,
Formularies,aat,,,,
"Formulas, recipes, etc",aat,,,,
Fragments,aat,,,,
fragments (object portions),aat,,,,
Fragments (object portions),aat,,,,
Fragments (object portions),aat,http://vocab.getty.edu/aat/300117130,,,
Gatherings (gathered matter components),aat,,,,
Genealogical tables,aat,,,,
Genealogies,aat,,,,
Genealogies (histories),aat,,,,
Glossaries,aat,,,,
Glossed Bibles,aat,,,,
Glosses (annotations),aat,,,,
Glosses (annotations),aat,http://vocab.getty.edu/aat/300211708,,,
Goatskin bindings (Bindings),aat,,,,
Gold tooled bindings,aat,,,,
gold tooling,aat,,,,
Gothic cursive,aat,,,,
Gothic scripts,aat,(CStmoGRI)aatgf300195226http://vocab.getty.edu/aat/300195226,,,
Gothic scripts,aat,(CStmoGRI)aatgf300195226,,,
Gothic scripts,aat,,,,
Gothic scripts,aat,http://vocab.getty.edu/aat/300195226,,,
Government records,aat,,,,
Graduals,aat,,,,
Grammars (instructional materials),aat,,,,
Gregorian chants,aat,,,,
Grotesques,aat,,,,
Guide letters,aat,,,,
Hagiographies (documents),aat,,,,
Hagiographies (works),aat,,,,
handbooks,aat,,,,
Handbooks,aat,,,,
headpieces (layout features),aat,,,,
Hebrew alphabet,aat,,,,
Herbals,aat,,,,
Herbals (reference sources),aat,,,,
Historiated initials,aat,,,,
histories,aat,,,,
Histories,aat,,,,
histories (literary genre),aat,http://vocab.getty.edu/aat/300026358,,,
Histories (literary works),aat,,,,
Holographs,aat,,,,
holographs (autographs),aat,,,,
Homiliaries,aat,,,,
Humanistic cursive,aat,,,,
Humanistic script,aat,,,,
Humanistic scripts,aat,,,,
Humanistic scripts,aat,http://vocab.getty.edu/aat/300210204,,,
Humanist scripts,aat,,,,
Hymnals,aat,,,,
Hymns,aat,,,,
Hymns (documents),aat,,,,
iIlluminated manuscripts,aat,,,,
Illuminated borders,aat,,,,
Illuminated initials,aat,,,,
