genre_as_recorded,vocab,source_authority_uri,authorized_label,structured_value,ds_qid
liturgy,ds-genre,,,,
Liturgical books,ds-genre,,,,
letter,ds-genre,,,,
Antiphonaries (Service books),ds-genre,,,,
legal,ds-genre,,,,
theology,ds-genre,,,,
dictionary,ds-genre,,,,
