name_as_recorded,role,name_agr,source_authority_uri,instance_of,authorized_label,structured_value,ds_id,ds_qid
"; many manuscripts from Weissenau were appropriated by the last abbot, Bonaventura Brem (1755-1818), who retired to Schloss Liebenau, whence they were bought c. 1842 by Georg von Waldburg-Zeil, S.J. [1823-1866), for the Jesuit College at Fribourg-en-Suisse, but were dispersed in 1854 before the presentation had been made; bound in London, c. 1860",former owner,,,human;human,Bonaventura Brem;Georg von Waldburg-Zeil,Q892116;Q1504200,DSNAME439;DSNAME440,Q1603;Q1604
"; many manuscripts from Weissenau were appropriated by the last abbot, Bonaventura Brem (1755-1818), who retired to Schloss Liebenau, whence they were bought c. 1842 by Georg von Waldburg-Zeil, S.J. [1823-1866), for the Jesuit College at Fribourg-en-Suisse, but were dispersed in 1854 before the presentation had been made; bound in London, c. 1860;",former owner,,,human;human,Bonaventura Brem;Georg von Waldburg-Zeil,Q892116;Q1504200,DSNAME439;DSNAME440,Q1603;Q1604
'Amr,author,,,human,'Amr ibn al-'As,Q314781,DSNAME3617,Q40062
"""1756 Ex libris Presbiteri Joseph Marie Sormani"" (inscription on flyleaf ); H. C. (Harley) Drayton (1901-1966), bought at Sotheby’s, 29 January 1951, lot 13; his sale, Sotheby’s, 12 December 1967, lot 63; re-sold at Christie’s, 28 June 1972, lot 8; Ruth E. Adomeit (1910-1996), bequeathed by her to the Lilly Library",former owner,,,human;human;human,Joseph Marie Sormani;Harold Drayton;Ruth E. Adomeit,Q116771083;Q18761974;Q7382958,DSNAME596;DSNAME597;DSNAME598,Q1831;Q1832;Q1833
"""1756 Ex libris Presbiteri Joseph Marie Sormani"" (inscription on flyleaf ); H. C. (Harley) Drayton (1901-1966), bought at Sotheby’s, 29 January 1951, lot 13; his sale, Sotheby’s, 12 December 1967, lot 63; re-sold at Christie’s, 28 June 1972, lot 8; Ruth E. Adomeit (1910-1996), bequeathed by her to the Lilly Library.",former owner,,,human;human;human,Joseph Marie Sormani;Harold Drayton;Ruth E. Adomeit,Q116771083;Q18761974;Q7382958,DSNAME596;DSNAME597;DSNAME598,Q1831;Q1832;Q1833
"""as a souvenir of the happy days with which I have begun my life in New York"" (letter enclosed), with Poor’s leather booklabel; his sale, New York, 17 November 1908, lot 799, to Morris; Walter T. Wallace (1866-1922), with his armorial bookplate; his sale, New York, 22 March 1920, lot 229, to C. L. Ricketts; acquired by the Lilly Library with the Ricketts Collection in 1961",former owner,,,human;human,Walter Thomas Wallace;Coella Lindsay Ricketts,Q116784946;Q116771179,DSNAME583;DSNAME363,Q1818;Q1527
"""as a souvenir of the happy days with which I have begun my life in New York"" (letter enclosed), with Poor’s leather booklabel; his sale, New York, 17 November 1908, lot 799, to Morris; Walter T. Wallace (1866-1922), with his armorial bookplate; his sale, New York, 22 March 1920, lot 229, to C. L. Ricketts; acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,human;human,Walter Thomas Wallace;Coella Lindsay Ricketts,Q116784946;Q116771179,DSNAME583;DSNAME363,Q1818;Q1527
(Pseudo-) Bernard of Clairvaux,author,,,human,Pseudo Bernard of Clairvaux,Q114242512,DSNAME283,Q896
1520s Hours Workshop,artist,,,organization,1520s Hours Workshop,Q133265947,DSNAME8521,Q75962
2nd Baron Llangatock,former owner,,,human,"John Rolls, 2nd Baron Llangattock",Q6255510,DSNAME5621,Q42094
"A. Rosenthal, cat. 1 (1939), no. 21; Reichner cat. 2 (1940), no. 113; Lathrop Harper, cat. 3 (1953), no. 72; George A. Poole, bought from Harper in 1955, and acquired by the Lilly Library with the Poole Collection in 1958",former owner,,,human;organization,"George Amos Poole;Lathrop C. Harper, Inc.",Q64683625;Q116785327,DSNAME360;DSNAME476,Q1524;Q1640
"A. Rosenthal, cat. 1 (1939), no. 21; Reichner cat. 2 (1940), no. 113; Lathrop Harper, cat. 3 (1953), no. 72; George A. Poole, bought from Harper in 1955, and acquired by the Lilly Library with the Poole Collection in 1958.",former owner,,,human;organization,"George Amos Poole;Lathrop C. Harper, Inc.",Q64683625;Q116785327,DSNAME360;DSNAME476,Q1524;Q1640
"A. Rosenthal, Ltd",former owner,,,organization,A. Rosenthal Ltd.,Q120869211,DSNAME2192,Q16500
A. Rosenthal Ltd,former owner,,,organization,A. Rosenthal Ltd.,Q120869211,DSNAME2192,Q16500
Aaron ben Moses,former owner,,,human,Aaron ben Moses,Q124566701,DSNAME3618,Q40063
"Aaron Berechiah ben Moses, of Modena, 1549-1639",author,"אהרון ברכיה בן משה, ממודינה, 1549-1639",,human,Aaron Berechiah of Modena,Q301722,DSNAME8456,Q75867
"Abarqūhī, Muḥammad ibn Isḥāq, active 14th century",author,,,human,Muḥammad ibn Isḥāq Abarqūhī,Q136458549,DSNAME8973,Q108549
"Abati, Giovanni Battista",author,,,human,Giovanni Battista Abbati,Q110914659,DSNAME3619,Q40064
"Abbadia San Salvatore (Siena, Italy)",author,,,organization,Abbadia San Salvatore,Q91096,DSNAME1632,Q8201
"Abbadia San Salvatore (Siena, Italy)",author,,http://id.loc.gov/authorities/names/nr87000182,organization,Abbadia San Salvatore,Q91096,DSNAME1632,Q8201
Abbaye-aux-Bois,author,,,organization,Abbaye-aux-Bois,Q306107,DSNAME7433,Q67679
Abbaye d'Ambronay,associated name,,,organization,Our Lady of Ambronay,Q1283154,DSNAME5478,Q41923
"Abbaye d'Anchin (Pecquencourt, France)",former owner,,,organization,Anchin Abbey,Q1971381,DSNAME2193,Q16501
"Abbaye de Chassagne (Ain, France)",associated name,,,organization,Chassagne monastery,Q1775120,DSNAME5479,Q41924
Abbaye de Dommartin,former owner,,,organization,Abbaye de Dommartin,Q2424223,DSNAME5480,Q41925
Abbaye de Fontfroide,former owner,,,organization,Fontfroide Abbey,Q334263,DSNAME5481,Q41926
Abbaye de Pontigny,former owner,,,organization,Pontigny Abbey,Q591296,DSNAME425,Q1589
"Abbaye de Saint-Martin de Tournai (Tournai, Belgium)",former owner,,,organization,Abbaye de Saint-Martin de Tournai,Q2820407,DSNAME2167,Q16475
"Abbaye de Saint-Vaast (Arras, France)",former owner,,,organization,Abbey of St. Vaast,Q334220,DSNAME380,Q1544
"Abbaye Saint-Sulpice (Ain, France)",former owner,,,organization,Abbaye de Saint-Sulpice,Q1572876,DSNAME1238,Q6117
Abbazia della Novalesa,former owner,,,organization,Novalesa Abbey,Q2755827,DSNAME7450,Q67696
Abbazia di Morimondo,former owner,,http://id.loc.gov/authorities/names/nr93035920 http://id.loc.gov/authorities/names/nr93035920 http://viaf.org/viaf/sourceID/LC%7cnr93035920,organization,Abbey of Morimondo,Q1775687,DSNAME2012,Q12821
"Abbazia di Santa Giustina (Padua, Italy)",former owner,,,organization,Abbey of Santa Giustina,Q219502,DSNAME635,Q1870
"Abbe, Dorothy",former owner,,,human,Dorothy Abbe,Q123274719,DSNAME2237,Q16540
"Abbey, J. R. 1896-1969",former owner,,,human,John Roland Abbey,Q6255470,DSNAME915,Q3754
"Abbey, J. R. 1896-1969",former owner,,http://id.loc.gov/authorities/names/nr94014439,human,John Roland Abbey,Q6255470,DSNAME915,Q3754
Abbey of Bury St. Edmunds,former owner,,http://id.loc.gov/authorities/names/n81086928,organization,Bury St Edmunds Abbey,Q334286,DSNAME5482,Q41927
Abbey of Bury St. Edmunds,former owner,,,organization,Bury St Edmunds Abbey,Q334286,DSNAME5482,Q41927
"Abbey of St. Mary of Oliva (Oliwa, Poland)",former owner,,,organization,Santa María de la Oliva,Q110621,DSNAME5483,Q41928
Abbey of St. Peter in Gloucester,former owner,,,organization,Gloucester Cathedral,Q262500,DSNAME8575,Q76704
Abbey of Ste-Genevieve,former owner,,,organization,Abbey of St Genevieve,Q1766069,DSNAME5622,Q42095
Abbot von Heselwang,former owner,,,human,Abbot von Heselwang,Q114242549,DSNAME2786,Q20106
Abdalla ben Sukar,author,עבדאללה בן סוכר,,human,Abdalla ben Sukar,Q132799214,DSNAME8392,Q75803
"Abdel Gawad, Mohammed",author,,,human,Mohammed Abdel Gawad,Q124629900,DSNAME3620,Q40065
"Abdülbâkî Ârif Efendi, 1633-1713",author,عبد الباقي عارف افندي،,,human,Abdülbâkî Ârif Efendi,Q123581714,DSNAME2677,Q18724
Abdülbâkî Esîrîzade,author,,,human,Abdülbâkî Esîrîzade,Q130374950,DSNAME6771,Q54752
"Abdülgaffar Efendi, Kırımî, active 18th century",author,عبد الغفار افندى، قرىمى، active 18th century,,human,Kırımî Abdülgaffar Efendi,Q130375009,DSNAME6857,Q54838
"Abdullah bin Mehmet Salih, Eyübî, -1836",author,عبد الله بن محمد صالح، ايوبي,,human,Eyübî Abdullah bin Mehmet Salih,Q130374948,DSNAME6768,Q54749
"Abdullah bin Mehmet Salih, Eyübî, -1836",author,عبد الله بن محمد صالح، ايوبي، -1836,,human,Eyübî Abdullah bin Mehmet Salih,Q130374948,DSNAME6768,Q54749
"Abdullah Salahattin Uşşakî, 1705-1782",author,عبد الله صلاح الدىن عشاقى، d. 1782,,human,Ṣalāḥ-ed-Dīn ʿUşşāḳī,Q113827947,DSNAME6801,Q54782
