authorityValue,dsQID,authorityValueLabel,authorityTypeLabel,externalID
https://catalog.digital-scriptorium.org/entity/Q38095,Q38095,Gothic,Language (Authority File),Q35722
https://catalog.digital-scriptorium.org/entity/Q1318,Q1318,Greek,Language (Authority File),Q9129
https://catalog.digital-scriptorium.org/entity/Q27495,Q27495,Gujarati,Language (Authority File),Q5137
https://catalog.digital-scriptorium.org/entity/Q100835,Q100835,Hausa,Language (Authority File),Q56475
https://catalog.digital-scriptorium.org/entity/Q117,Q117,Hebrew,Language (Authority File),Q9288
https://catalog.digital-scriptorium.org/entity/Q18354,Q18354,Hindi,Language (Authority File),Q1568
https://catalog.digital-scriptorium.org/entity/Q18353,Q18353,Hindustani,Language (Authority File),Q11051
https://catalog.digital-scriptorium.org/entity/Q4336,Q4336,Hungarian,Language (Authority File),Q9067
https://catalog.digital-scriptorium.org/entity/Q38097,Q38097,Icelandic,Language (Authority File),Q294
https://catalog.digital-scriptorium.org/entity/Q38091,Q38091,Imperial Aramaic,Language (Authority File),Q7079491
https://catalog.digital-scriptorium.org/entity/Q38098,Q38098,Indo-Aryan,Language (Authority File),Q33577
https://catalog.digital-scriptorium.org/entity/Q116,Q116,Italian,Language (Authority File),Q652
https://catalog.digital-scriptorium.org/entity/Q27518,Q27518,Jaffna Tamil dialect,Language (Authority File),Q12988285
https://catalog.digital-scriptorium.org/entity/Q12711,Q12711,Japanese,Language (Authority File),Q5287
https://catalog.digital-scriptorium.org/entity/Q38105,Q38105,Javanese,Language (Authority File),Q33549
https://catalog.digital-scriptorium.org/entity/Q7217,Q7217,Judaeo-Spanish,Language (Authority File),Q36196
https://catalog.digital-scriptorium.org/entity/Q38106,Q38106,Judeo-Arabic,Language (Authority File),Q37733
https://catalog.digital-scriptorium.org/entity/Q76106,Q76106,Judeo-Malayalam,Language (Authority File),Q56600
https://catalog.digital-scriptorium.org/entity/Q74793,Q74793,Judeo-Persian,Language (Authority File),Q33367
https://catalog.digital-scriptorium.org/entity/Q74794,Q74794,Judæo-Italian,Language (Authority File),Q1145414
https://catalog.digital-scriptorium.org/entity/Q67914,Q67914,Kanbun,Language (Authority File),Q7901319
https://catalog.digital-scriptorium.org/entity/Q64216,Q64216,Kaqchikel,Language (Authority File),Q35115
https://catalog.digital-scriptorium.org/entity/Q38413,Q38413,Kawi,Language (Authority File),Q49341
https://catalog.digital-scriptorium.org/entity/Q27499,Q27499,Khmer,Language (Authority File),Q9205
https://catalog.digital-scriptorium.org/entity/Q12712,Q12712,Korean,Language (Authority File),Q9176
https://catalog.digital-scriptorium.org/entity/Q38121,Q38121,K’iche’,Language (Authority File),Q36494
https://catalog.digital-scriptorium.org/entity/Q38107,Q38107,Lahnda,Language (Authority File),Q112670533
https://catalog.digital-scriptorium.org/entity/Q42446,Q42446,Lao,Language (Authority File),Q9211
https://catalog.digital-scriptorium.org/entity/Q113,Q113,Latin,Language (Authority File),Q397
https://catalog.digital-scriptorium.org/entity/Q5947,Q5947,Law French,Language (Authority File),Q2044323
https://catalog.digital-scriptorium.org/entity/Q5013,Q5013,Low German,Language (Authority File),Q25433
https://catalog.digital-scriptorium.org/entity/Q19912,Q19912,Low Saxon,Language (Authority File),Q168446
https://catalog.digital-scriptorium.org/entity/Q27497,Q27497,Maharashtri,Language (Authority File),Q2586773
https://catalog.digital-scriptorium.org/entity/Q39962,Q39962,Malay,Language (Authority File),Q9237
https://catalog.digital-scriptorium.org/entity/Q27500,Q27500,Malayalam,Language (Authority File),Q36236
https://catalog.digital-scriptorium.org/entity/Q52676,Q52676,Mamluk-Kipchak,Language (Authority File),Q4279942
https://catalog.digital-scriptorium.org/entity/Q27508,Q27508,Marathi,Language (Authority File),Q1571
https://catalog.digital-scriptorium.org/entity/Q38099,Q38099,Marquesan,Language (Authority File),Q33781
https://catalog.digital-scriptorium.org/entity/Q27504,Q27504,Marwari,Language (Authority File),Q56312
https://catalog.digital-scriptorium.org/entity/Q10833,Q10833,Middle Dutch,Language (Authority File),Q178806
https://catalog.digital-scriptorium.org/entity/Q119,Q119,Middle English,Language (Authority File),Q36395
https://catalog.digital-scriptorium.org/entity/Q110,Q110,Middle French,Language (Authority File),Q1473289
https://catalog.digital-scriptorium.org/entity/Q115,Q115,Middle High German,Language (Authority File),Q837985
https://catalog.digital-scriptorium.org/entity/Q38101,Q38101,Middle Low German,Language (Authority File),Q505674
https://catalog.digital-scriptorium.org/entity/Q27493,Q27493,Middle Persian,Language (Authority File),Q32063
https://catalog.digital-scriptorium.org/entity/Q38109,Q38109,Middle Scots,Language (Authority File),Q3327000
https://catalog.digital-scriptorium.org/entity/Q38096,Q38096,Modern Greek,Language (Authority File),Q36510
https://catalog.digital-scriptorium.org/entity/Q38112,Q38112,Nahuatl,Language (Authority File),Q13300
https://catalog.digital-scriptorium.org/entity/Q27514,Q27514,Nepali,Language (Authority File),Q33823
https://catalog.digital-scriptorium.org/entity/Q74787,Q74787,Northeastern Neo-Aramaic,Language (Authority File),Q2560578
https://catalog.digital-scriptorium.org/entity/Q38094,Q38094,Northern English,Language (Authority File),Q1321639
https://catalog.digital-scriptorium.org/entity/Q42447,Q42447,Northern Thai,Language (Authority File),Q565110
https://catalog.digital-scriptorium.org/entity/Q4338,Q4338,Occitan,Language (Authority File),Q14185
https://catalog.digital-scriptorium.org/entity/Q40059,Q40059,Old Catalan,Language (Authority File),Q15478520
https://catalog.digital-scriptorium.org/entity/Q20366,Q20366,Old Church Slavonic,Language (Authority File),Q35499
https://catalog.digital-scriptorium.org/entity/Q1317,Q1317,Old English,Language (Authority File),Q42365
https://catalog.digital-scriptorium.org/entity/Q3106,Q3106,Old French,Language (Authority File),Q35222
https://catalog.digital-scriptorium.org/entity/Q5946,Q5946,Old High German,Language (Authority File),Q35218
https://catalog.digital-scriptorium.org/entity/Q38103,Q38103,Old Norse,Language (Authority File),Q35505
https://catalog.digital-scriptorium.org/entity/Q38115,Q38115,Old Occitan,Language (Authority File),Q2779185
https://catalog.digital-scriptorium.org/entity/Q42448,Q42448,Old Saxon,Language (Authority File),Q35219
https://catalog.digital-scriptorium.org/entity/Q40060,Q40060,Old Spanish,Language (Authority File),Q1088025
https://catalog.digital-scriptorium.org/entity/Q3104,Q3104,Ottoman Turkish,Language (Authority File),Q36730
https://catalog.digital-scriptorium.org/entity/Q76108,Q76108,Paleo-Hebrew,Language (Authority File),Q440608
https://catalog.digital-scriptorium.org/entity/Q27511,Q27511,Pali,Language (Authority File),Q36727
https://catalog.digital-scriptorium.org/entity/Q48679,Q48679,Pashto,Language (Authority File),Q58680
https://catalog.digital-scriptorium.org/entity/Q120,Q120,Persian,Language (Authority File),Q9168
https://catalog.digital-scriptorium.org/entity/Q40058,Q40058,Picard,Language (Authority File),Q34024
https://catalog.digital-scriptorium.org/entity/Q5014,Q5014,Polish,Language (Authority File),Q809
https://catalog.digital-scriptorium.org/entity/Q38114,Q38114,Portuguese,Language (Authority File),Q5146
https://catalog.digital-scriptorium.org/entity/Q27516,Q27516,Prakrit,Language (Authority File),Q192170
https://catalog.digital-scriptorium.org/entity/Q7801,Q7801,Provençal,Language (Authority File),Q241243
https://catalog.digital-scriptorium.org/entity/Q27505,Q27505,Punjabi,Language (Authority File),Q58635
https://catalog.digital-scriptorium.org/entity/Q64219,Q64219,Purépecha,Language (Authority File),Q36803
https://catalog.digital-scriptorium.org/entity/Q64218,Q64218,Q’eqchi’,Language (Authority File),Q35536
https://catalog.digital-scriptorium.org/entity/Q27510,Q27510,Rajasthani,Language (Authority File),Q13196
https://catalog.digital-scriptorium.org/entity/Q7802,Q7802,Rhine Franconian,Language (Authority File),Q707007
https://catalog.digital-scriptorium.org/entity/Q38116,Q38116,Romance languages,Language (Authority File),Q19814
