authorityValue,dsQID,authorityValueLabel,authorityTypeLabel,externalID
https://catalog.digital-scriptorium.org/entity/Q4990,Q4990,Aachen,Place (Authority File),http://vocab.getty.edu/tgn/7004799
https://catalog.digital-scriptorium.org/entity/Q11613,Q11613,Aakkâr,Place (Authority File),http://vocab.getty.edu/tgn/7594637
https://catalog.digital-scriptorium.org/entity/Q48704,Q48704,Abarkūh,Place (Authority File),http://vocab.getty.edu/tgn/8881087
https://catalog.digital-scriptorium.org/entity/Q17535,Q17535,Aberdeen,Place (Authority File),http://vocab.getty.edu/tgn/7009782
https://catalog.digital-scriptorium.org/entity/Q17526,Q17526,Abruzzi,Place (Authority File),http://vocab.getty.edu/tgn/7009084
https://catalog.digital-scriptorium.org/entity/Q40046,Q40046,Adkān,Place (Authority File),http://vocab.getty.edu/tgn/8881601
https://catalog.digital-scriptorium.org/entity/Q76303,Q76303,Adria,Place (Authority File),http://vocab.getty.edu/tgn/7008301
https://catalog.digital-scriptorium.org/entity/Q76265,Q76265,Affi,Place (Authority File),http://vocab.getty.edu/tgn/1043111
https://catalog.digital-scriptorium.org/entity/Q3101,Q3101,Afghanistan,Place (Authority File),http://vocab.getty.edu/tgn/7016612
https://catalog.digital-scriptorium.org/entity/Q66926,Q66926,Africa,Place (Authority File),http://vocab.getty.edu/tgn/7001242
https://catalog.digital-scriptorium.org/entity/Q18347,Q18347,Afyon,Place (Authority File),http://vocab.getty.edu/tgn/7002512
https://catalog.digital-scriptorium.org/entity/Q42072,Q42072,Agadir,Place (Authority File),http://vocab.getty.edu/tgn/1091336
https://catalog.digital-scriptorium.org/entity/Q38134,Q38134,Aix-en-Provence,Place (Authority File),http://vocab.getty.edu/tgn/7010786
https://catalog.digital-scriptorium.org/entity/Q66892,Q66892,Ajuda,Place (Authority File),http://vocab.getty.edu/tgn/7746220
https://catalog.digital-scriptorium.org/entity/Q106570,Q106570,Al Lādhiqīyah,Place (Authority File),http://vocab.getty.edu/tgn/7002280
https://catalog.digital-scriptorium.org/entity/Q40040,Q40040,Al Madīnah al Munawwarah,Place (Authority File),http://vocab.getty.edu/tgn/7000678
https://catalog.digital-scriptorium.org/entity/Q39934,Q39934,Al Qusţanţīnīyah,Place (Authority File),http://vocab.getty.edu/tgn/7523796
https://catalog.digital-scriptorium.org/entity/Q106569,Q106569,Al-ʻAmārah,Place (Authority File),http://vocab.getty.edu/tgn/1079380
https://catalog.digital-scriptorium.org/entity/Q8378,Q8378,Albania,Place (Authority File),http://vocab.getty.edu/tgn/7006417
https://catalog.digital-scriptorium.org/entity/Q42495,Q42495,Alcalá de Henares,Place (Authority File),http://vocab.getty.edu/tgn/7007139
https://catalog.digital-scriptorium.org/entity/Q66899,Q66899,Alençon,Place (Authority File),http://vocab.getty.edu/tgn/7008621
https://catalog.digital-scriptorium.org/entity/Q3095,Q3095,Aleppo,Place (Authority File),http://vocab.getty.edu/tgn/7002252
https://catalog.digital-scriptorium.org/entity/Q74802,Q74802,Alexandria,Place (Authority File),http://vocab.getty.edu/tgn/7001188
https://catalog.digital-scriptorium.org/entity/Q27489,Q27489,Algeria,Place (Authority File),http://vocab.getty.edu/tgn/7016752
https://catalog.digital-scriptorium.org/entity/Q38135,Q38135,Alsace,Place (Authority File),http://vocab.getty.edu/tgn/7024265
https://catalog.digital-scriptorium.org/entity/Q66888,Q66888,Alta Verapaz,Place (Authority File),http://vocab.getty.edu/tgn/1000495
https://catalog.digital-scriptorium.org/entity/Q74806,Q74806,Altona,Place (Authority File),http://vocab.getty.edu/tgn/7060796
https://catalog.digital-scriptorium.org/entity/Q26527,Q26527,Amasya,Place (Authority File),http://vocab.getty.edu/tgn/7002337
https://catalog.digital-scriptorium.org/entity/Q19894,Q19894,Amberg,Place (Authority File),http://vocab.getty.edu/tgn/7012357
https://catalog.digital-scriptorium.org/entity/Q66887,Q66887,Amboise,Place (Authority File),http://vocab.getty.edu/tgn/7008272
https://catalog.digital-scriptorium.org/entity/Q5005,Q5005,Ameglia,Place (Authority File),http://vocab.getty.edu/tgn/7005369
https://catalog.digital-scriptorium.org/entity/Q20361,Q20361,Amiens,Place (Authority File),http://vocab.getty.edu/tgn/7010588
https://catalog.digital-scriptorium.org/entity/Q38136,Q38136,Amorbach,Place (Authority File),http://vocab.getty.edu/tgn/7005993
https://catalog.digital-scriptorium.org/entity/Q74801,Q74801,Amsterdam,Place (Authority File),http://vocab.getty.edu/tgn/7006952
https://catalog.digital-scriptorium.org/entity/Q11624,Q11624,An-Najaf,Place (Authority File),http://vocab.getty.edu/tgn/1079401
https://catalog.digital-scriptorium.org/entity/Q7511,Q7511,Ancona,Place (Authority File),http://vocab.getty.edu/tgn/7003980
https://catalog.digital-scriptorium.org/entity/Q38137,Q38137,Ancrum,Place (Authority File),http://vocab.getty.edu/tgn/1050378
https://catalog.digital-scriptorium.org/entity/Q3097,Q3097,Andalusia,Place (Authority File),http://vocab.getty.edu/tgn/7024275
https://catalog.digital-scriptorium.org/entity/Q7500,Q7500,Andenne,Place (Authority File),http://vocab.getty.edu/tgn/7007854
https://catalog.digital-scriptorium.org/entity/Q38138,Q38138,Andorra,Place (Authority File),http://vocab.getty.edu/tgn/1000061
https://catalog.digital-scriptorium.org/entity/Q42092,Q42092,Angers,Place (Authority File),http://vocab.getty.edu/tgn/7008480
https://catalog.digital-scriptorium.org/entity/Q42073,Q42073,Anghiari,Place (Authority File),http://vocab.getty.edu/tgn/7006115
https://catalog.digital-scriptorium.org/entity/Q1288,Q1288,Anjou,Place (Authority File),http://vocab.getty.edu/tgn/7017069
https://catalog.digital-scriptorium.org/entity/Q52691,Q52691,Antakya,Place (Authority File),http://vocab.getty.edu/tgn/7594295
https://catalog.digital-scriptorium.org/entity/Q108127,Q108127,Antequera,Place (Authority File),http://vocab.getty.edu/tgn/7007265
https://catalog.digital-scriptorium.org/entity/Q66884,Q66884,Antigua Guatemala,Place (Authority File),http://vocab.getty.edu/tgn/7005496
https://catalog.digital-scriptorium.org/entity/Q38139,Q38139,Antwerp,Place (Authority File),http://vocab.getty.edu/tgn/7007856
https://catalog.digital-scriptorium.org/entity/Q38140,Q38140,Aosta Valley,Place (Authority File),http://vocab.getty.edu/tgn/7003126
https://catalog.digital-scriptorium.org/entity/Q38141,Q38141,Apulia,Place (Authority File),http://vocab.getty.edu/tgn/7010380
https://catalog.digital-scriptorium.org/entity/Q12693,Q12693,Aquitaine,Place (Authority File),http://vocab.getty.edu/tgn/7002878
